X1	X2	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X52	X53	X54	X55	X56	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X75	X76	X77	X78	X79	X80	X81	X82	X83	X84	X85	X86	X87	X88	X89	X90	X91	X92	X93	X94	X95	X96	X97	X98	X99	X100	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X121	X122	X123	X124	X125	X126	X127	X128
0.915762	1.03867	1.048099	0.833285	0.575617	0.389632	0.275142	0.214329	0.18972	0.202062	0.197956	0.215173	0.230728	0.2276	0.239829	0.234847	0.240151	0.231813	0.219011	0.230223	0.246655	0.331747	0.444615	0.649203	0.955643	1.229783	1.260023	1.032194	0.790852	0.723445	0.889116	1.154603	1.183548	0.965629	0.714642	0.576649	0.399717	0.2742	0.247542	0.230557	0.230095	0.222609	0.228243	0.225321	0.234188	0.238932	0.222376	0.223396	0.246385	0.268164	0.347223	0.520086	0.676742	0.805209	1.039161	1.227048	1.154528	0.845039	0.633883	0.675345	0.922525	1.203268	1.213028	0.992103	0.813098	0.670348	0.497752	0.359907	0.287859	0.246421	0.216116	0.20672	0.211157	0.210346	0.207159	0.226883	0.229145	0.251085	0.313018	0.386997	0.49994	0.697824	0.865929	0.985264	1.090139	1.151393	0.958412	0.653098	0.49291	0.536278	0.770792	1.010756	1.068187	0.999446	0.962459	0.843654	0.682002	0.49228	0.384231	0.281376	0.241089	0.219139	0.191414	0.201171	0.20291	0.20277	0.230666	0.248028	0.320942	0.436191	0.576545	0.763561	0.934354	1.049294	1.086396	1.039595	0.837651	0.604429	0.490607	0.530716	0.740403	0.980006	1.060301	1.09295	1.078341	0.912418	0.689509	0.556325
0.841936	1.093255	1.172137	0.974768	0.720144	0.576913	0.450937	0.322323	0.260798	0.236118	0.21877	0.203198	0.217969	0.212699	0.212402	0.231339	0.224296	0.230975	0.273783	0.297327	0.363329	0.526954	0.688883	0.869136	1.070212	1.235011	1.172375	0.903514	0.621137	0.593949	0.790192	1.108907	1.289048	1.128578	0.935241	0.787415	0.637751	0.481484	0.346927	0.289513	0.241978	0.210691	0.208623	0.207567	0.212209	0.206733	0.210001	0.231297	0.268546	0.370596	0.508151	0.737154	0.909631	1.052932	1.131853	1.176628	1.008011	0.714092	0.54851	0.575608	0.770797	1.044633	1.158386	1.124529	1.082833	0.933008	0.718171	0.54153	0.398355	0.313132	0.267684	0.247033	0.220504	0.255082	0.253606	0.239502	0.296616	0.320531	0.374149	0.5067	0.660091	0.842255	1.033526	1.114773	1.098352	0.990824	0.819316	0.576502	0.457126	0.520549	0.658749	0.859182	0.961564	1.061634	1.104427	0.971306	0.784375	0.651809	0.528191	0.420935	0.406955	0.386676	0.35599	0.398854	0.392106	0.408325	0.463784	0.453138	0.535201	0.64466	0.736335	0.8594	0.979181	1.009021	0.941562	0.844879	0.742564	0.597147	0.509518	0.546964	0.674514	0.815103	0.897609	0.988381	1.051317	0.948024	0.847385	0.808691
0.696376	0.979055	1.146443	1.062946	0.962658	0.846081	0.696887	0.509969	0.376097	0.292816	0.225319	0.206379	0.197464	0.200319	0.197363	0.208235	0.224167	0.242548	0.306988	0.400046	0.543257	0.728786	0.921008	1.066627	1.145788	1.149468	1.042038	0.753709	0.557621	0.528669	0.674932	0.920583	1.111226	1.168038	1.171599	1.052261	0.865622	0.626814	0.493151	0.358567	0.288698	0.283819	0.243561	0.270256	0.282215	0.277764	0.302509	0.337356	0.376597	0.518014	0.68495	0.860895	1.070829	1.191899	1.159152	1.024449	0.875828	0.650514	0.538732	0.561724	0.692387	0.915098	1.042836	1.12855	1.167497	1.026462	0.829546	0.682596	0.611553	0.513679	0.495221	0.526861	0.513964	0.553699	0.574387	0.565733	0.63598	0.645839	0.705631	0.806111	0.865308	0.938448	1.064838	1.04678	0.903711	0.784092	0.673582	0.569282	0.533625	0.550687	0.601744	0.690703	0.758736	0.873612	0.977036	0.937301	0.902166	0.890676	0.859973	0.849511	0.882801	0.889351	0.887237	0.923472	0.923938	0.956347	0.988124	1.004998	1.041735	1.074315	1.073809	1.033414	0.99553	0.902198	0.719399	0.593342	0.556947	0.593315	0.652266	0.658964	0.615644	0.607461	0.631849	0.759273	0.925622	1.027596	1.158607	1.271718
0.613602	0.842325	1.027111	1.126453	1.166321	1.046269	0.852592	0.679097	0.518345	0.397668	0.323008	0.321427	0.280586	0.30742	0.320026	0.314761	0.372229	0.39022	0.439793	0.562957	0.683448	0.834672	1.025981	1.154959	1.12876	1.021329	0.879584	0.68213	0.592351	0.551309	0.663516	0.848984	0.982586	1.112189	1.150465	1.077954	0.898362	0.809577	0.698418	0.600253	0.578231	0.58163	0.598423	0.620778	0.668236	0.652002	0.706962	0.716636	0.766997	0.84971	0.917661	0.996086	1.084385	1.088566	0.933053	0.78698	0.693494	0.640453	0.630101	0.641073	0.679448	0.748445	0.807542	0.909141	1.012041	1.005134	0.982973	0.9955	1.022397	1.035079	1.088001	1.111259	1.162185	1.213572	1.241534	1.253333	1.30143	1.345726	1.357311	1.348037	1.325806	1.210785	1.084919	0.897934	0.692135	0.547099	0.501247	0.573468	0.649429	0.660059	0.582772	0.53111	0.538408	0.629408	0.79551	0.940556	1.1368	1.292977	1.420468	1.540857	1.57239	1.588366	1.634113	1.582045	1.614832	1.657963	1.646994	1.685834	1.676778	1.606435	1.523781	1.343861	1.073938	0.842739	0.599673	0.467799	0.462117	0.610659	0.785208	0.773393	0.615524	0.47302	0.490314	0.644812	0.906994	1.187383	1.498978	1.701968
0.59644	0.735598	0.853596	0.973662	1.073655	1.043684	0.909328	0.818083	0.759703	0.706198	0.683095	0.70715	0.704586	0.728275	0.766493	0.761969	0.830864	0.857981	0.894214	0.96129	1.017218	1.008472	1.019579	1.02088	0.890167	0.72368	0.664956	0.622099	0.645489	0.649439	0.647641	0.673972	0.714808	0.819601	0.953615	1.023032	1.043074	1.103789	1.135085	1.173799	1.187932	1.198424	1.230994	1.270815	1.310445	1.34099	1.372722	1.394735	1.429966	1.418502	1.397051	1.303375	1.163112	0.947664	0.719073	0.579743	0.530584	0.643948	0.745217	0.784913	0.722073	0.627172	0.603809	0.675189	0.827452	1.036475	1.259391	1.429413	1.574274	1.688622	1.737894	1.768281	1.86379	1.877599	1.880661	1.910843	1.926482	1.950648	1.97872	1.873965	1.77906	1.547245	1.197206	0.904233	0.632848	0.456755	0.432389	0.573107	0.746627	0.768077	0.603553	0.457031	0.464794	0.547898	0.755909	1.014933	1.353535	1.613249	1.721155	1.864251	1.838956	1.816422	1.857075	1.786787	1.800006	1.838637	1.765541	1.826828	1.770008	1.67403	1.626587	1.396174	1.120433	0.908242	0.653554	0.521005	0.468103	0.58699	0.748487	0.744422	0.60502	0.480911	0.540494	0.659971	0.901658	1.179682	1.439074	1.554681
0.610669	0.607817	0.613292	0.701993	0.848734	0.956919	1.049916	1.174487	1.224455	1.290567	1.356355	1.354696	1.401417	1.432916	1.430637	1.501624	1.527126	1.541862	1.604273	1.568608	1.489333	1.360312	1.148879	0.914489	0.643674	0.544101	0.53059	0.621801	0.740919	0.793168	0.687185	0.578969	0.556074	0.608958	0.788623	0.968318	1.320921	1.547943	1.672705	1.761225	1.826172	1.737104	1.81619	1.839936	1.849582	1.933213	1.871419	1.904932	1.942392	1.829218	1.75401	1.593699	1.286743	0.975451	0.693805	0.535385	0.469718	0.624252	0.82735	0.883452	0.741031	0.569437	0.544353	0.611669	0.826235	1.100336	1.433718	1.653137	1.745807	1.848013	1.875553	1.815127	1.899358	1.794207	1.856931	1.932381	1.867101	1.920545	1.926399	1.795838	1.73729	1.543642	1.231251	0.984641	0.716621	0.569844	0.493494	0.579024	0.681079	0.703139	0.577779	0.49826	0.512034	0.608733	0.813713	1.03704	1.240509	1.37516	1.420022	1.455002	1.436421	1.369437	1.392796	1.314967	1.306495	1.325529	1.246434	1.265542	1.24403	1.206515	1.220399	1.163558	1.108018	1.023854	0.86839	0.734213	0.661523	0.467385	0.610632	0.602248	0.593206	0.639994	0.715596	0.854266	1.054273	1.096804	1.076196	1.071711
0.671156	0.528847	0.469205	0.52456	0.730534	0.972149	1.262708	1.534111	1.646387	1.76222	1.854151	1.812121	1.844141	1.83536	1.820276	1.88865	1.861776	1.889411	1.95128	1.845856	1.734854	1.568923	1.23623	0.938413	0.692154	0.530277	0.466724	0.589697	0.762098	0.852391	0.714797	0.540719	0.499375	0.581045	0.808596	1.077178	1.394096	1.617126	1.605827	1.754575	1.776791	1.683973	1.71143	1.716902	1.696061	1.755994	1.681599	1.696407	1.726251	1.624183	1.570111	1.463892	1.275046	1.047117	0.824519	0.665104	0.586269	0.63521	0.733557	0.741396	0.698593	0.635722	0.652925	0.745724	0.925905	1.098958	1.256721	1.323226	1.336505	1.331613	1.312134	1.25045	1.269455	1.241127	1.230822	1.263426	1.230514	1.240306	1.240162	1.213639	1.228743	1.219502	1.200671	1.143241	0.988696	0.803788	0.687483	0.573017	0.549024	0.546589	0.557736	0.612989	0.684852	0.845498	1.029772	1.073561	1.034589	0.986857	0.881552	0.802528	0.738589	0.708238	0.656846	0.656026	0.616672	0.616422	0.630905	0.62628	0.670599	0.729179	0.828581	0.944539	1.123263	1.193808	1.12764	1.034015	0.932627	0.682133	0.501207	0.482546	0.625742	0.852141	0.984953	1.117407	1.176666	1.059476	0.875501	0.702023
0.67314	0.529442	0.470411	0.544992	0.746423	0.977616	1.262007	1.489031	1.560798	1.606339	1.638803	1.572901	1.568703	1.544178	1.47745	1.535699	1.516059	1.513368	1.548734	1.493114	1.446521	1.359434	1.18097	1.016358	0.843822	0.696244	0.6103	0.58871	0.663602	0.692674	0.640949	0.597931	0.634932	0.77309	0.951816	1.11135	1.192652	1.266088	1.215967	1.177636	1.12002	1.054262	1.040621	1.038863	1.03065	1.044061	1.011379	0.998072	1.015383	1.016537	1.094288	1.148871	1.214835	1.245844	1.115578	0.935869	0.823518	0.6863	0.601797	0.514145	0.648612	0.782857	0.888738	1.047033	1.166954	1.159727	1.035355	0.931688	0.830933	0.731954	0.657039	0.611934	0.593478	0.576669	0.584018	0.573153	0.611068	0.611265	0.625626	0.72526	0.824888	0.973139	1.17597	1.27421	1.222471	1.096609	0.95842	0.663582	0.472248	0.435353	0.561428	0.786287	0.945356	1.081236	1.186316	1.107684	0.91231	0.695962	0.570706	0.417641	0.350632	0.304661	0.260556	0.2312	0.26162	0.252273	0.28491	0.3023	0.350274	0.475558	0.614218	0.784472	1.006745	1.167837	1.207158	1.208164	1.08953	0.785776	0.538108	0.49987	0.66287	0.956876	1.139307	1.178446	1.114257	0.943374	0.727036	0.51291
0.603348	0.592451	0.620046	0.727596	0.929365	1.060444	1.086932	1.118108	1.072833	0.99907	0.98118	0.910637	0.874329	0.833513	0.81175	0.810574	0.806927	0.807902	0.835124	0.869361	0.959821	1.022464	1.110521	1.213892	1.126512	0.968092	0.865876	0.714513	0.589724	0.520161	0.591302	0.746483	0.908698	1.077574	1.197915	1.191437	1.051121	0.908449	0.782861	0.634103	0.536929	0.506494	0.451814	0.445892	0.461286	0.436702	0.420754	0.467088	0.503134	0.611178	0.763056	0.931969	1.173186	1.342698	1.329394	1.192819	1.073568	0.794827	0.564251	0.511727	0.662485	0.942931	1.143036	1.282405	1.287601	1.156972	0.909796	0.701849	0.534909	0.398441	0.325302	0.290042	0.251967	0.24344	0.264034	0.237067	0.281879	0.31177	0.35444	0.455922	0.617094	0.800766	1.025473	1.187694	1.245003	1.229317	1.097331	0.763266	0.528808	0.458437	0.610878	0.903972	1.076154	1.10591	1.089128	0.950942	0.765925	0.552928	0.391651	0.290589	0.22103	0.179764	0.171581	0.158948	0.165631	0.170521	0.186757	0.205335	0.250492	0.332028	0.417575	0.582027	0.745697	0.898755	1.071535	1.269501	1.210218	0.923508	0.672861	0.614314	0.780469	1.05633	1.1794	1.017322	0.831905	0.665582	0.502051	0.333359
0.552032	0.70769	0.87793	1.013168	1.143433	1.155905	1.004995	0.830327	0.689218	0.546843	0.445398	0.418894	0.362686	0.339424	0.337739	0.326312	0.341349	0.361212	0.394407	0.510286	0.64631	0.799996	1.040942	1.245134	1.277806	1.205345	1.101461	0.823695	0.577837	0.477332	0.612599	0.856178	1.111183	1.262015	1.279493	1.164471	0.94976	0.715266	0.52505	0.365565	0.283235	0.253448	0.207689	0.202496	0.191889	0.19917	0.214956	0.236674	0.294247	0.40634	0.551492	0.752696	0.972253	1.145257	1.230935	1.275487	1.167519	0.893661	0.612981	0.545679	0.710871	1.035853	1.267655	1.233427	1.113451	0.947858	0.728286	0.52833	0.38165	0.29601	0.221876	0.202424	0.19783	0.193435	0.191711	0.197811	0.214225	0.236396	0.273512	0.341593	0.410784	0.571959	0.720411	0.856483	1.043191	1.26333	1.206029	0.920235	0.658825	0.603647	0.736341	1.020178	1.164508	0.984061	0.810672	0.664019	0.496888	0.343995	0.256458	0.214047	0.185984	0.17339	0.173088	0.166505	0.151747	0.176127	0.163734	0.183657	0.211526	0.223043	0.24627	0.358563	0.473111	0.59095	0.894841	1.221486	1.261004	1.066986	0.906004	0.858652	0.956967	1.105706	1.112931	0.859605	0.557918	0.406532	0.269786	0.194047
